Time_s,F0_Hz
0.020842,0
0.025009,0
0.029175,0
0.033342,0
0.037509,0
0.041675,0
0.045842,0
0.050009,0
0.054175,0
0.058342,0
0.062509,0
0.066675,0
0.070842,0
0.075009,0
0.079175,0
0.083342,0
0.087509,0
0.091675,0
0.095842,0
0.100009,0
0.104175,0
0.108342,0
0.112509,0
0.116675,0
0.120842,0
0.125009,0
0.129175,0
0.133342,0
0.137509,0
0.141675,0
0.145842,0
0.150009,0
0.154175,0
0.158342,0
0.162509,0
0.166675,0
0.170842,0
0.175009,0
0.179175,0
0.183342,0
0.187509,0
0.191675,0
0.195842,0
0.200009,0
0.204175,0
0.208342,0
0.212509,0
0.216675,0
0.220842,0
0.225009,0
0.229175,0
0.233342,0
0.237509,0
0.241675,0
0.245842,0
0.250009,0
0.254175,0
0.258342,0
0.262509,0
0.266675,0
0.270842,0
0.275009,0
0.279175,0
0.283342,0
0.287509,0
0.291675,0
0.295842,0
0.300009,0
0.304175,0
0.308342,0
0.312509,0
0.316675,0
0.320842,0
0.325009,0
0.329175,0
0.333342,0
0.337509,0
0.341675,0
0.345842,0
0.350009,0
0.354175,0
0.358342,0
0.362509,0
0.366675,0
0.370842,0
0.375009,0
0.379175,0
0.383342,0
0.387509,0
0.391675,0
0.395842,0
0.400009,0
0.404175,0
0.408342,0
0.412509,0
0.416675,0
0.420842,0
0.425009,0
0.429175,0
0.433342,0
0.437509,0
0.441675,0
0.445842,0
0.450009,0
0.454175,0
0.458342,0
0.462509,0
0.466675,0
0.470842,0
0.475009,0
0.479175,0
0.483342,0
0.487509,0
0.491675,0
0.495842,0
0.500009,0
0.504175,0
0.508342,0
0.512509,0
0.516675,0
0.520842,0
0.525009,0
0.529175,0
0.533342,0
0.537509,0
0.541675,0
0.545842,0
0.550009,0
0.554175,0
0.558342,0
0.562509,0
0.566675,0
0.570842,0
0.575009,0
0.579175,0
0.583342,0
0.587509,0
0.591675,0
0.595842,0
0.600009,0
0.604175,0
0.608342,0
0.612509,0
0.616675,0
0.620842,0
