Begin Time - msec,End Time - msec,R.G.Sequence
10730,11550,SEQ
31990,34190,SEQ
39260,40270,SEQ
46470,47680,SEQ
47740,48520,SEQ
50360,54850,SEQ
64360,71690,SEQ
71980,73590,SEQ
74450,87910,SEQ
89960,98710,SEQ
105290,126380,SEQ
155110,158170,SEQ
164420,177540,SEQ
178410,184000,SEQ
184330,188260,SEQ
191290,193200,SEQ
196335,201810,SEQ
202015,206495,SEQ
207007,210347,SEQ
211417,214617,SEQ
214697,215937,SEQ
220977,221937,SEQ
224741,228341,SEQ
232680,236000,SEQ
248079,249889,SEQ
251150,263809,SEQ
277630,279210,SEQ
279830,281970,SEQ
291760,296630,SEQ
316020,350030,SEQ
352690,353840,SEQ
354580,378865,SEQ
379565,407750,SEQ
408740,419740,SEQ
422660,431080,SEQ
431680,441910,SEQ
442320,449470,SEQ
449560,451510,SEQ
451600,452590,SEQ
452690,499280,SEQ
532791,543330,SEQ
555961,558040,SEQ
563320,564670,SEQ
565060,566870,SEQ
570140,571750,SEQ
573560,576290,SEQ
577840,579030,SEQ
583770,584570,SEQ
589870,599170,SEQ
602440,603320,SEQ
608010,613850,SEQ
616759,635280,SEQ
636020,727870,SEQ
737570,738780,SEQ
744810,749780,SEQ
749890,751280,SEQ
751440,763230,SEQ
771910,775270,SEQ
785760,786380,SEQ
796070,796870,SEQ
807170,808360,SEQ
809840,810870,SEQ
