Begin Time - msec,End Time - msec,R.G.Sequence
11060,12420,SEQ
21510,22640,SEQ
29210,35630,SEQ
35990,37630,SEQ
45939,49459,SEQ
50849,51399,SEQ
58999,59749,SEQ
60349,60909,SEQ
62407,63477,SEQ
64817,66117,SEQ
68797,69240,SEQ
71997,74347,SEQ
75067,75987,SEQ
85537,88467,SEQ
88827,90837,SEQ
124447,125257,SEQ
127944,129394,SEQ
130524,132404,SEQ
132984,135230,SEQ
136314,138334,SEQ
140444,141324,SEQ
141728,144720,SEQ
149294,150564,SEQ
150974,154310,SEQ
158344,161874,SEQ
163060,164134,SEQ
168550,169394,SEQ
170774,173204,SEQ
194224,202250,SEQ
212474,214724,SEQ
219122,220362,SEQ
226130,231739,SEQ
239329,240279,SEQ
241674,242984,SEQ
244359,244869,SEQ
245419,246560,SEQ
247599,248259,SEQ
249229,250159,SEQ
250809,251679,SEQ
252099,253019,SEQ
254309,256719,SEQ
258289,265050,SEQ
267789,269489,SEQ
274439,275929,SEQ
276309,283620,SEQ
284809,285769,SEQ
